tier,time_ms,center_ms,binary_value
RA,0,50,1
RA,100,150,1
RA,200,250,1
RA,300,350,1
RA,400,450,1
RA,500,550,1
RA,600,650,1
RA,700,750,1
RA,800,850,1
RA,900,950,1
RA,1000,1050,1
RA,1100,1150,1
RA,1200,1250,1
RA,1300,1350,1
RA,1400,1450,1
RA,1500,1550,1
None,1600,1650,0
None,1700,1750,0
None,1800,1850,0
None,1900,1950,0
None,2000,2050,0
None,2100,2150,0
None,2200,2250,0
Both,2300,2350,1
Both,2400,2450,1
Both,2500,2550,1
Both,2600,2650,1
Both,2700,2750,1
Both,2800,2850,1
Both,2900,2950,1
Both,3000,3050,1
Both,3100,3150,1
Both,3200,3250,1
Both,3300,3350,1
Both,3400,3450,1
Both,3500,3550,1
Both,3600,3650,1
Both,3700,3750,1
Both,3800,3850,1
Both,3900,3950,1
Both,4000,4050,1
Both,4100,4150,1
Both,4200,4250,1
Both,4300,4350,1
Both,4400,4450,1
Both,4500,4550,1
Both,4600,4650,1
Both,4700,4750,1
Both,4800,4850,1
Both,4900,4950,1
Both,5000,5050,1
Both,5100,5150,1
Both,5200,5250,1
RA,5300,5350,1
RA,5400,5450,1
RA,5500,5550,1
RA,5600,5650,1
RA,5700,5750,1
RA,5800,5850,1
RA,5900,5950,1
RA,6000,6050,1
RA,6100,6150,1
RA,6200,6250,1
RA,6300,6350,1
RA,6400,6450,1
RA,6500,6550,1
RA,6600,6650,1
RA,6700,6750,1
RA,6800,6850,1
RA,6900,6950,1
RA,7000,7050,1
RA,7100,7150,1
RA,7200,7250,1
RA,7300,7350,1
RA,7400,7450,1
RA,7500,7550,1
RA,7600,7650,1
RA,7700,7750,1
RA,7800,7850,1
RA,7900,7950,1
RA,8000,8050,1
RA,8100,8150,1
RA,8200,8250,1
RA,8300,8350,1
RA,8400,8450,1
RA,8500,8550,1
RA,8600,8650,1
RA,8700,8750,1
RA,8800,8850,1
RA,8900,8950,1
RA,9000,9050,1
None,9100,9150,0
None,9200,9250,0
None,9300,9350,0
None,9400,9450,0
None,9500,9550,0
None,9600,9650,0
None,9700,9750,0
None,9800,9850,0
None,9900,9950,0
None,10000,10050,0
None,10100,10150,0
None,10200,10250,0
None,10300,10350,0
None,10400,10450,0
